Segment,customers,revenue,profit,avg_spend,avg_orders,avg_recency_weeks,avg_aov,revenue_share,margin
Champions,424,47128211.26,11212291.89,111151.44,49.83,1.11,2230.6,0.6839567889346101,0.23791040631997035
Loyal Customers,118,8010388.44,1856876.08,67884.65,31.42,6.32,2160.3,0.11625222789203142,0.2318084939211762
Potential Loyalists,166,3307495.27,808140.06,19924.67,12.69,1.64,1569.77,0.04800063027653325,0.24433596846836914
New Customers,19,36514.17,9464.44,1921.8,1.79,1.63,1073.95,0.0005299185731033508,0.2591990999658489
Promising,180,2991100.57,702615.16,16617.23,10.41,4.98,1596.1,0.04340889430221252,0.23490188429204173
Hibernating,82,377933.99,100391.91,4608.95,3.98,6.93,1159.31,0.005484836180257037,0.26563345096322244
At Risk,80,1836216.28,444527.9,22952.7,12.9,26.38,1779.28,0.026648424735020486,0.24208907460508955
Can't Lose,43,2245483.92,527578.24,52220.56,24.0,18.42,2175.86,0.032587996244003874,0.23495079848979725
Lost,536,2971902.78,734948.27,5544.59,3.67,63.47,1510.11,0.04313028286222805,0.24729889380836342
